fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.07,0.0062,0.0008,0.018,0.00076,0.08,0.24,0.009978,0.0348,0.0053,0.09,5
0.079,0.0052,0.0026,0.019,0.00079,0.42,1.4,0.009964,0.0323,0.0054,0.095,5
0.086,0.0049,0.0028,0.019,0.0011,0.2,1.36,0.009972,0.0293,0.0195,0.099,6
0.086,0.0049,0.0029,0.02,0.0011,0.19,1.33,0.009972,0.0293,0.0198,0.098,5
0.077,0.0049,0.0026,0.019,0.00062,0.09,0.31,0.009966,0.0339,0.0064,0.096,5
0.05,0.0102,0.0004,0.014,0.00045,0.41,0.85,0.009938,0.0375,0.0048,0.105,4
0.047,0.006,0.0017,0.023,0.00058,0.17,1.06,0.009932,0.0385,0.006,0.129,6
0.068,0.00775,0,0.03,0.00102,0.08,0.23,0.009965,0.0345,0.0056,0.107,5
0.07,0.005,0.0025,0.02,0.0007,0.03,0.22,0.009963,0.0325,0.0063,0.092,5
0.076,0.009,0.0006,0.025,0.00079,0.05,0.1,0.009967,0.0339,0.0056,0.098,5
0.081,0.00545,0.0018,0.019,0.0008,0.13,0.35,0.009972,0.033,0.0059,0.09,6
0.083,0.0061,0.003,0.021,0.00084,0.11,0.5,0.009972,0.034,0.0061,0.102,6
0.078,0.005,0.003,0.019,0.00075,0.08,0.22,0.009959,0.0331,0.0056,0.104,6
0.081,0.00545,0.0018,0.019,0.0008,0.13,0.35,0.009972,0.033,0.0059,0.09,6
0.081,0.00575,0.0022,0.021,0.00077,0.12,0.65,0.009967,0.0329,0.0051,0.092,5
0.072,0.0049,0.0024,0.022,0.0007,0.05,0.36,0.00996,0.0333,0.0048,0.094,5
0.081,0.00575,0.0022,0.021,0.00077,0.12,0.65,0.009967,0.0329,0.0051,0.092,5
0.078,0.0041,0.0068,0.017,0.00467,0.18,0.69,0.009973,0.0308,0.0131,0.093,5
0.062,0.0063,0.0031,0.017,0.00088,0.15,0.64,0.009969,0.0346,0.0079,0.093,5
0.08,0.0033,0.0053,0.025,0.00091,0.18,0.8,0.009976,0.0337,0.008,0.096,6
0.081,0.00785,0.0052,0.02,0.00122,0.37,1.53,0.009969,0.0321,0.0069,0.093,5
0.078,0.0056,0.0019,0.018,0.00104,0.12,0.47,0.009964,0.0319,0.0093,0.095,5
0.084,0.0062,0.0009,0.022,0.00084,0.11,1.08,0.009964,0.0315,0.0066,0.098,5
0.084,0.006,0.001,0.022,0.00085,0.14,1.11,0.009964,0.0315,0.0066,0.098,5
0.101,0.0031,0.0044,0.023,0.0008,0.22,0.46,0.009988,0.0332,0.0067,0.097,6
0.078,0.0056,0.0019,0.018,0.00104,0.12,0.47,0.009964,0.0319,0.0093,0.095,5
0.094,0.004,0.0031,0.022,0.0009,0.13,0.62,0.009966,0.0307,0.0063,0.105,6
0.083,0.0054,0.0028,0.019,0.00077,0.11,0.4,0.009978,0.0339,0.0061,0.1,6
0.078,0.0056,0.0012,0.02,0.00082,0.07,0.28,0.00997,0.0337,0.005,0.094,6
0.088,0.0055,0.0004,0.022,0.00119,0.14,0.56,0.009962,0.0321,0.006,0.109,6
0.07,0.0069,0.0008,0.018,0.00097,0.22,0.89,0.009959,0.0334,0.0054,0.092,6
0.073,0.0107,0.0009,0.017,0.00178,0.1,0.89,0.009962,0.033,0.0057,0.09,5
0.088,0.0055,0.0004,0.022,0.00119,0.14,0.56,0.009962,0.0321,0.006,0.109,6
0.073,0.00695,0,0.025,0.00075,0.03,0.13,0.00998,0.0349,0.0052,0.092,5
0.08,0.0071,0,0.026,0.0008,0.11,0.34,0.009976,0.0344,0.0053,0.095,5
0.078,0.005,0.0017,0.016,0.00082,0.21,1.02,0.00996,0.0339,0.0048,0.095,5
0.09,0.0062,0.0004,0.019,0.00146,0.27,0.9,0.009984,0.0316,0.007,0.094,5
0.082,0.0133,0,0.017,0.00081,0.03,0.12,0.009964,0.0353,0.0049,0.109,5
0.081,0.0133,0,0.018,0.00082,0.03,0.12,0.009964,0.0354,0.0048,0.109,5
0.08,0.0059,0.0016,0.018,0.00065,0.03,0.16,0.009962,0.0342,0.0092,0.105,7
0.061,0.0038,0.0015,0.018,0.00072,0.06,0.19,0.009955,0.0342,0.0057,0.094,5
0.08,0.00745,0.0056,0.02,0.00118,0.3,1.34,0.009968,0.0324,0.0066,0.094,5
0.056,0.005,0.0009,0.023,0.00049,0.17,0.99,0.009937,0.0363,0.0063,0.13,5
0.056,0.005,0.0009,0.023,0.00049,0.17,0.99,0.009937,0.0363,0.0063,0.13,5
0.066,0.005,0.0001,0.015,0.0006,0.17,0.26,0.009952,0.034,0.0058,0.098,6
0.079,0.0104,0.0005,0.022,0.00084,0.13,0.29,0.009959,0.0322,0.0055,0.099,6
0.084,0.00745,0.0011,0.019,0.0009,0.16,0.63,0.009965,0.0319,0.0082,0.096,5
0.083,0.00715,0.0015,0.018,0.00089,0.1,0.52,0.009968,0.0323,0.0077,0.095,5
0.072,0.00415,0.0036,0.02,0.00081,0.13,0.45,0.009972,0.0348,0.0064,0.092,5
0.078,0.0056,0.0019,0.021,0.00081,0.15,1.05,0.009962,0.0333,0.0054,0.095,5
0.078,0.0056,0.0019,0.02,0.00081,0.17,1.08,0.009962,0.0332,0.0054,0.095,5
0.084,0.00745,0.0011,0.019,0.0009,0.16,0.63,0.009965,0.0319,0.0082,0.096,5
0.083,0.00715,0.0015,0.018,0.00089,0.1,0.52,0.009968,0.0323,0.0077,0.095,5
0.052,0.0034,0,0.018,0.0005,0.27,0.63,0.009916,0.0368,0.0079,0.14,6
0.063,0.0039,0.0008,0.017,0.00066,0.03,0.2,0.009954,0.0334,0.0058,0.094,5
0.052,0.0034,0,0.018,0.0005,0.27,0.63,0.009916,0.0368,0.0079,0.14,6
0.081,0.0067,0.0055,0.018,0.00117,0.32,1.41,0.009968,0.0317,0.0062,0.094,5
0.058,0.0068,0.0002,0.018,0.00087,0.21,0.94,0.009944,0.0354,0.0052,0.1,5
0.076,0.0049,0.0026,0.016,0.00236,0.1,0.88,0.009968,0.0311,0.008,0.093,5
0.069,0.0049,0.001,0.023,0.00074,0.12,0.3,0.009959,0.0342,0.0058,0.102,6
0.082,0.004,0.0044,0.028,0.00089,0.11,0.43,0.009975,0.0353,0.0061,0.105,6
0.073,0.0033,0.0047,0.021,0.00077,0.05,0.11,0.009958,0.0333,0.0053,0.103,6
0.092,0.0052,0.01,0.034,0.0061,0.32,0.69,0.009996,0.0274,0.02,0.094,4
0.075,0.006,0.0003,0.018,0.00095,0.25,0.99,0.00995,0.0335,0.0054,0.101,5
0.075,0.006,0.0003,0.018,0.00095,0.25,0.99,0.00995,0.0335,0.0054,0.101,5
0.071,0.0043,0.0042,0.055,0.0007,0.29,1.29,0.009973,0.0342,0.0072,0.105,5
0.071,0.0043,0.0042,0.055,0.00071,0.28,1.28,0.009973,0.0342,0.0071,0.105,5
0.071,0.0043,0.0042,0.055,0.0007,0.29,1.29,0.009973,0.0342,0.0072,0.105,5
0.071,0.0043,0.0042,0.055,0.00071,0.28,1.28,0.009973,0.0342,0.0071,0.105,5
0.071,0.0068,0,0.022,0.00073,0.12,0.22,0.009969,0.0348,0.005,0.093,5
0.068,0.006,0.0018,0.019,0.00079,0.18,0.86,0.009968,0.0359,0.0057,0.093,6
0.076,0.0095,0.0003,0.02,0.0009,0.07,0.2,0.009959,0.032,0.0056,0.096,5
0.076,0.0068,0.0002,0.013,0.00072,0.09,0.2,0.009965,0.0317,0.0108,0.092,4
0.078,0.0053,0.0004,0.017,0.00076,0.17,0.31,0.009964,0.0333,0.0056,0.1,6
0.074,0.006,0.0026,0.073,0.0007,0.36,1.21,0.009982,0.0337,0.0049,0.094,5
0.073,0.0059,0.0026,0.072,0.0007,0.35,1.21,0.009981,0.0337,0.0049,0.094,5
0.078,0.0063,0.0048,0.017,0.001,0.14,0.96,0.009961,0.0319,0.0062,0.095,5
0.068,0.0064,0.001,0.021,0.00085,0.18,1.01,0.009956,0.0334,0.0052,0.102,5
0.073,0.0055,0.0003,0.016,0.00072,0.17,0.42,0.009956,0.0337,0.0048,0.09,4
0.068,0.0063,0.0007,0.021,0.00089,0.11,0.44,0.009953,0.0347,0.0055,0.104,6
0.075,0.00705,0.0024,0.018,0.0036,0.15,0.63,0.009964,0.03,0.0159,0.095,5
0.079,0.00885,0.0003,0.018,0.00058,0.04,0.08,0.009972,0.0336,0.0033,0.091,4
0.08,0.0042,0.0017,0.02,0.00073,0.06,0.18,0.009972,0.0329,0.0061,0.092,6
0.08,0.0042,0.0017,0.02,0.00073,0.06,0.18,0.009972,0.0329,0.0061,0.092,6
0.074,0.0062,0.0005,0.019,0.00068,0.24,0.42,0.009961,0.0342,0.0057,0.115,6
0.073,0.0038,0.0021,0.02,0.0008,0.07,0.35,0.009961,0.0333,0.0047,0.095,5
0.069,0.005,0.0004,0.015,0.00085,0.19,0.49,0.009958,0.0335,0.0078,0.095,5
0.073,0.0038,0.0021,0.02,0.0008,0.07,0.35,0.009961,0.0333,0.0047,0.095,5
0.075,0.0052,0.0042,0.023,0.00087,0.08,0.38,0.009972,0.0358,0.0061,0.105,6
0.07,0.00805,0,0.025,0.00068,0.07,0.2,0.009969,0.0348,0.0056,0.096,5
0.088,0.0061,0.0014,0.024,0.00067,0.1,0.42,0.009969,0.0319,0.0059,0.095,5
0.088,0.0061,0.0014,0.024,0.00067,0.1,0.42,0.009969,0.0319,0.0059,0.095,5
0.089,0.0061,0.0049,0.02,0.0027,0.23,1.1,0.009972,0.0312,0.0102,0.093,5
0.072,0.0073,0.0002,0.025,0.00076,0.16,0.42,0.009972,0.0344,0.0052,0.093,5
0.068,0.0061,0.002,0.018,0.00077,0.11,0.65,0.009971,0.0354,0.0058,0.093,5
0.067,0.0062,0.0021,0.019,0.00079,0.08,0.62,0.00997,0.0352,0.0058,0.093,6
0.089,0.0031,0.0057,0.02,0.00111,0.26,0.85,0.009971,0.0326,0.0053,0.097,5
0.074,0.0039,0.0048,0.02,0.00082,0.14,0.67,0.009972,0.0334,0.0055,0.092,5
0.077,0.00705,0.001,0.026,0.00084,0.09,0.26,0.009976,0.0339,0.0049,0.097,5
0.079,0.005,0.0033,0.02,0.00084,0.15,1.43,0.009968,0.032,0.0055,0.095,5
0.079,0.0049,0.0032,0.019,0.00082,0.17,1.44,0.009968,0.032,0.0055,0.095,5
0.082,0.005,0.0035,0.029,0.00077,0.21,1.27,0.009976,0.0323,0.0062,0.094,5
0.064,0.0037,0.0025,0.019,0.00074,0.21,0.49,0.009974,0.0357,0.0062,0.098,6
0.068,0.0063,0.0012,0.038,0.00099,0.16,1.26,0.009969,0.0328,0.0061,0.095,5
0.076,0.0055,0.0021,0.022,0.00071,0.07,0.28,0.009964,0.0328,0.0055,0.097,5
0.076,0.0055,0.0021,0.022,0.00071,0.07,0.28,0.009964,0.0328,0.0055,0.097,5
0.078,0.0059,0.0033,0.02,0.00074,0.24,1.2,0.009968,0.0325,0.0054,0.094,5
0.073,0.0058,0.003,0.024,0.00074,0.15,0.55,0.009968,0.0346,0.0059,0.102,5
0.115,0.003,0.006,0.02,0.00067,0.12,0.27,0.009981,0.0311,0.0097,0.101,6
0.054,0.00835,0.0008,0.012,0.00046,0.13,0.93,0.009924,0.0357,0.0085,0.13,7
0.069,0.0109,0.0006,0.021,0.00061,0.12,0.31,0.009948,0.0351,0.0043,0.114,4
0.096,0.0032,0.0047,0.014,0.00056,0.09,0.24,0.0099695,0.0322,0.0082,0.103,7
0.088,0.0037,0.0048,0.021,0.00097,0.39,1.45,0.009975,0.0304,0.0103,0.093,5
0.068,0.005,0.0011,0.015,0.00075,0.16,0.49,0.0099545,0.0336,0.0079,0.095,5
0.07,0.0042,0.0035,0.016,0.00088,0.16,0.39,0.009961,0.0334,0.0055,0.092,5
0.07,0.0043,0.0036,0.016,0.00089,0.14,0.37,0.0099615,0.0334,0.0056,0.092,6
0.128,0.003,0.0074,0.026,0.00095,0.09,0.28,0.009994,0.032,0.0077,0.108,7
0.128,0.003,0.0074,0.026,0.00095,0.09,0.28,0.009994,0.032,0.0077,0.108,7
0.078,0.0057,0.0031,0.018,0.00069,0.26,1.2,0.0099625,0.0329,0.0053,0.093,5
0.078,0.0044,0.0028,0.027,0.001,0.18,0.95,0.009966,0.0322,0.0067,0.094,5
0.11,0.003,0.0058,0.021,0.00054,0.07,0.19,0.00998,0.0331,0.0088,0.105,7
0.097,0.0053,0.006,0.02,0.00039,0.05,0.19,0.0099585,0.033,0.0086,0.124,6
0.08,0.00725,0.0024,0.028,0.00083,0.1,0.62,0.0099685,0.0335,0.0056,0.1,6
0.116,0.0044,0.0064,0.021,0.00059,0.05,0.15,0.00998,0.0321,0.0067,0.102,6
0.082,0.0057,0.0026,0.022,0.0006,0.28,0.65,0.009959,0.033,0.0043,0.101,5
0.078,0.00735,0.0008,0.024,0.00092,0.1,0.41,0.009974,0.0324,0.0071,0.098,6
0.07,0.0049,0.0049,0.056,0.0006,0.26,1.21,0.009974,0.0334,0.0076,0.105,5
0.087,0.00625,0.0016,0.02,0.00101,0.13,0.49,0.009962,0.0314,0.0057,0.11,5
0.081,0.00725,0.0022,0.022,0.00072,0.11,0.41,0.009967,0.0336,0.0055,0.091,5
0.075,0.0049,0.0019,0.019,0.00076,0.1,0.44,0.009957,0.0339,0.0054,0.097,5
0.078,0.0053,0.0033,0.024,0.0008,0.24,1.44,0.0099655,0.033,0.006,0.095,5
0.078,0.0034,0.0037,0.02,0.00082,0.24,0.58,0.009964,0.0334,0.0059,0.094,6
0.074,0.0053,0.0026,0.02,0.00101,0.16,0.72,0.009957,0.0315,0.0057,0.094,5
0.068,0.0061,0.0004,0.015,0.00057,0.05,0.1,0.0099525,0.0342,0.006,0.095,5
0.086,0.00645,0.0025,0.02,0.00083,0.08,0.28,0.0099815,0.0328,0.006,0.1,6
0.084,0.00635,0.0036,0.02,0.00089,0.15,0.55,0.0099745,0.0331,0.0057,0.104,4
0.077,0.0043,0.0025,0.026,0.00073,0.29,0.63,0.0099615,0.0337,0.0058,0.105,6
0.089,0.0059,0.005,0.02,0.00337,0.27,0.81,0.009964,0.0304,0.0161,0.095,6
0.09,0.0082,0.0014,0.026,0.00089,0.09,0.23,0.009984,0.0339,0.0063,0.098,5
0.077,0.0043,0.0025,0.026,0.00073,0.29,0.63,0.0099615,0.0337,0.0058,0.105,6
0.069,0.0052,0.0025,0.026,0.00081,0.1,0.37,0.0099685,0.0346,0.005,0.11,5
0.052,0.0048,0.0004,0.016,0.00054,0.19,1.06,0.009927,0.0354,0.0062,0.122,7
0.08,0.0038,0.0006,0.018,0.00078,0.12,0.49,0.0099625,0.0337,0.0052,0.099,6
0.085,0.0037,0.002,0.028,0.0009,0.18,0.58,0.00998,0.0334,0.007,0.096,6
0.069,0.0052,0.0025,0.026,0.00081,0.1,0.37,0.0099685,0.0346,0.005,0.11,5
0.082,0.01,0.0009,0.023,0.00065,0.07,0.37,0.0099685,0.0332,0.0055,0.09,6
0.072,0.0063,0,0.019,0.00097,0.14,0.38,0.0099675,0.0337,0.0058,0.09,6
0.072,0.0063,0,0.019,0.00097,0.14,0.38,0.0099675,0.0337,0.0058,0.09,6
0.072,0.00645,0,0.019,0.00097,0.15,0.39,0.0099675,0.0337,0.0058,0.092,6
0.072,0.0063,0,0.019,0.00097,0.14,0.38,0.0099675,0.0337,0.0058,0.09,6
0.082,0.01,0.0009,0.023,0.00065,0.07,0.37,0.0099685,0.0332,0.0055,0.09,6
0.089,0.00635,0.0037,0.017,0.00263,0.05,0.62,0.009971,0.03,0.0109,0.093,5
0.12,0.0038,0.0056,0.021,0.00093,0.06,0.24,0.0099925,0.0314,0.0071,0.109,6
0.077,0.0058,0.001,0.018,0.00102,0.28,1.09,0.0099565,0.0308,0.0049,0.098,6
0.15,0.0021,0.0044,0.022,0.00075,0.1,0.24,0.0100005,0.0307,0.0084,0.092,7
0.15,0.0021,0.0044,0.022,0.00075,0.1,0.24,0.0100005,0.0307,0.0084,0.092,7
0.073,0.0066,0,0.02,0.00084,0.06,0.23,0.009983,0.0361,0.0096,0.099,6
0.071,0.0068,0.0007,0.019,0.00075,0.16,0.51,0.0099685,0.0338,0.0052,0.095,5
0.082,0.006,0.0017,0.023,0.00072,0.11,0.73,0.009963,0.032,0.0045,0.093,5
0.077,0.0053,0.0006,0.017,0.00074,0.09,0.39,0.0099615,0.0335,0.0048,0.098,6
0.073,0.0066,0,0.02,0.00084,0.06,0.23,0.009983,0.0361,0.0096,0.099,6
0.108,0.0032,0.0044,0.016,0.00063,0.16,0.37,0.009985,0.0322,0.0078,0.1,6
0.071,0.006,0,0.018,0.00074,0.16,0.34,0.009972,0.0347,0.007,0.099,6
0.111,0.0035,0.0048,0.031,0.0009,0.05,0.21,0.009986,0.0317,0.0053,0.105,5
0.077,0.00775,0.0042,0.019,0.00092,0.08,0.86,0.009959,0.0323,0.0059,0.095,5
0.071,0.006,0,0.018,0.00074,0.16,0.34,0.009972,0.0347,0.007,0.099,6
0.08,0.0057,0.0023,0.032,0.00073,0.17,1.19,0.0099675,0.0326,0.0057,0.093,5
0.094,0.0034,0.0037,0.022,0.00075,0.05,0.13,0.00998,0.0322,0.0062,0.092,5
0.066,0.00695,0,0.021,0.00075,0.12,0.56,0.009968,0.0349,0.0067,0.092,5
0.077,0.0041,0.0076,0.018,0.00611,0.08,0.45,0.009968,0.0306,0.0126,0.094,5
0.1,0.0031,0.0047,0.026,0.00085,0.14,0.33,0.0099965,0.0336,0.008,0.105,7
0.079,0.0033,0.0023,0.017,0.00077,0.18,0.45,0.0099625,0.0329,0.0065,0.093,5
0.07,0.00975,0.0004,0.02,0.00087,0.12,0.67,0.0099565,0.0335,0.006,0.094,4
0.08,0.0052,0.0003,0.017,0.0007,0.1,0.35,0.0099575,0.0334,0.0057,0.1,5
0.079,0.0037,0.0023,0.018,0.00077,0.23,0.49,0.009963,0.0328,0.0067,0.093,5
0.125,0.0056,0.0049,0.024,0.00064,0.05,0.27,0.009999,0.0308,0.0087,0.109,5
0.118,0.0026,0.0052,0.018,0.00071,0.06,0.1,0.009968,0.032,0.0072,0.102,7
0.081,0.0087,0,0.033,0.00096,0.26,0.61,0.0100025,0.036,0.0072,0.098,4
0.079,0.0035,0.0046,0.036,0.00078,0.15,0.37,0.009973,0.0335,0.0086,0.128,8
0.069,0.0054,0.0004,0.03,0.00077,0.07,0.27,0.009987,0.0369,0.0091,0.094,6
